Wall time,Step,Value
1711497435.0368824,1106432,-7.34622049331665
1711497442.7335882,1110432,-6.308794021606445
1711497459.2113366,1118432,-8.95971965789795
1711497466.9713988,1122432,-8.502989768981934
1711497474.6197445,1126432,-9.114189147949219
1711497482.5097044,1130432,-8.419571876525879
1711497499.8759797,1138432,-9.734637260437012
1711497517.3236938,1146432,-10.468894958496094
1711497525.2640185,1150432,-10.48197078704834
1711497533.4422123,1154432,-10.695676803588867
1711497548.6007862,1162432,-11.09229564666748
1711497563.0279093,1170432,-11.05744743347168
1711497579.972996,1178432,-11.362348556518555
1711497587.2966235,1182203,-10.231514930725098
1711497595.0842304,1186203,-9.777510643005371
1711497619.3968992,1197935,-7.538031578063965
1711497651.6029716,1213640,-5.212145805358887
1711497659.752758,1217640,-4.926676273345947
1711497667.7944458,1221640,-5.494265079498291
1711497677.0855818,1225640,-5.456849098205566
1711497686.2732587,1229640,-6.9560723304748535
1711497702.105514,1237461,-4.02769136428833
1711497709.3034742,1241154,-4.535198211669922
1711497732.3532555,1252857,-4.518398284912109
1711497741.1022654,1256857,-3.758185386657715
1711497757.7131407,1264857,-3.0345041751861572
1711497774.8444824,1272857,-1.8804516792297363
1711497783.8301702,1276857,-1.293052315711975
1711497808.1314425,1288857,-2.630105972290039
1711497823.7556105,1296857,-4.342860221862793
1711497831.9251397,1300857,-4.338067531585693
1711497840.334842,1304857,-4.210116863250732
1711497855.4654498,1312857,-6.311732769012451
1711497863.373379,1316857,-5.478488445281982
1711497871.3828826,1320857,-5.741187572479248
1711497879.4367113,1324857,-5.144918918609619
1711497887.9407504,1328857,-4.059536457061768
1711497895.5156288,1332857,-5.6521148681640625
1711497904.9303055,1336857,-5.685801029205322
1711497913.1207037,1340857,-4.922336578369141
1711497921.1032743,1344857,-3.7774534225463867
1711497953.9246368,1360535,0.33538922667503357
1711497961.7180142,1364535,-0.12247812747955322
1711497977.9014018,1372535,-0.7380890250205994
1711497992.2705534,1380535,0.5982710719108582
1711498000.4602222,1384535,0.12209679186344147
1711498008.74643,1388535,-0.04952625930309296
1711498017.296381,1392535,1.1281615495681763
1711498025.3601384,1396535,1.1463180780410767
1711498034.4360216,1400535,0.9607030749320984
1711498042.6381562,1404535,1.2814500331878662
1711498048.9859827,1408046,4.85878324508667
1711498057.0878074,1411875,6.412542343139648
1711498071.6946023,1419875,6.179934024810791
1711498080.1029823,1423875,6.297600269317627
1711498086.708108,1427549,9.239426612854004
1711498095.4611378,1431549,9.081321716308594
1711498103.1216047,1435549,10.726690292358398
1711498117.9371595,1442879,15.34931468963623
1711498123.9853628,1446017,19.675626754760742
1711498130.1018722,1449291,25.036649703979492
1711498141.4517953,1455671,32.09531021118164
1711498145.0203576,1457984,40.980621337890625
1711498151.9194067,1461621,44.154293060302734
1711498157.7227497,1464993,47.384220123291016
1711498164.926419,1468702,50.258811950683594
1711498169.8206556,1471700,54.74274444580078
1711498176.9255722,1475487,54.101497650146484
1711498181.6158562,1478390,61.48024368286133
1711498187.5919282,1481465,67.79075622558594
1711498203.0068977,1490219,86.11678314208984
1711498213.6118188,1495835,93.15496063232422
1711498227.8048198,1502999,100.99698638916016
1711498246.6723578,1512706,110.02181243896484
1711498253.787843,1516379,112.67688751220703
1711498261.529489,1520346,113.8051986694336
1711498264.6292183,1522468,117.7735595703125
1711498269.3906782,1524993,120.47064208984375
1711498275.2481546,1528192,120.46965026855469
1711498282.5396326,1531758,120.95758056640625
1711498287.5638201,1534540,121.77921295166016
1711498295.6259625,1538390,114.75658416748047
1711498300.5266874,1540966,119.71418762207031
1711498307.8487387,1544338,120.12591552734375
1711498313.1503932,1547224,124.78887176513672
1711498319.4823947,1550433,124.92584228515625
1711498336.0528762,1559552,132.75445556640625
1711498342.3543384,1562962,131.99729919433594
1711498362.1424673,1573216,126.62098693847656
1711498366.8396068,1575887,125.8907241821289
1711498377.2867372,1581621,132.2484588623047
1711498382.6087723,1584769,132.54490661621094
1711498388.163377,1587790,137.29302978515625
1711498393.7524548,1591091,136.1858367919922
1711498401.6842325,1594765,134.7461700439453
1711498409.1833923,1598765,132.87503051757812
1711498426.6914377,1608277,126.83509826660156
1711498431.9267929,1611179,129.144775390625
1711498436.3242974,1613808,130.45919799804688
1711498455.7862976,1624675,139.17933654785156
1711498459.1849203,1626830,143.13552856445312
1711498468.006505,1632103,146.0543975830078
1711498474.43088,1635445,143.01284790039062
1711498481.461332,1639111,141.38134765625
1711498486.3389773,1642014,142.92074584960938
1711498500.3347957,1649092,146.42942810058594
1711498510.8807878,1654930,148.48805236816406
1711498517.3142543,1658164,144.20687866210938
1711498524.8909621,1661609,141.7086944580078
1711498540.4942048,1669003,137.0689239501953
1711498548.6093905,1673003,135.34869384765625
1711498556.95444,1677003,135.98324584960938
1711498563.802644,1680643,132.44883728027344
1711498570.2739065,1684268,129.93116760253906
1711498577.0549657,1687676,127.68508911132812
1711498584.8178232,1691410,122.58451080322266
1711498593.1696253,1695410,114.67027282714844
1711498613.6464462,1706013,100.97520446777344
1711498620.9381447,1709831,93.42950439453125
1711498631.9131718,1715658,87.23876190185547
1711498645.3728952,1722323,85.49394989013672
1711498654.345392,1726323,83.65768432617188
1711498661.5770893,1730224,77.18547821044922
1711498667.39672,1733282,75.81221771240234
1711498674.846917,1737697,83.76971435546875
1711498679.0883234,1740228,83.04666900634766
1711498682.9537845,1742793,87.6217269897461
1711498687.2560532,1745258,92.74980163574219
1711498692.3323162,1748031,93.76866149902344
1711498697.8405735,1751154,95.1609115600586
1711498704.7687728,1754848,97.39303588867188
1711498711.6018066,1758227,101.16471099853516
1711498734.4475935,1768926,100.86449432373047
1711498741.114799,1772559,102.25475311279297
1711498757.6320052,1781564,116.18907928466797
1711498761.0556808,1783832,118.4383773803711
1711498765.3645923,1786643,122.21524810791016
1711498774.7454743,1791847,125.18905639648438
1711498786.16191,1797845,125.82756805419922
1711498791.8062775,1800881,131.45147705078125
1711498795.131017,1802984,138.83859252929688
1711498799.5105262,1805648,138.97879028320312
1711498804.6615872,1808376,138.2234649658203
1711498807.221975,1810306,139.81097412109375
1711498810.7784998,1812537,142.70709228515625
1711498814.724585,1814892,141.47706604003906
1711498821.447664,1819273,146.14007568359375
1711498825.9895465,1822033,148.12100219726562
1711498830.316348,1824554,151.83302307128906
1711498843.4938316,1831095,148.69691467285156
1711498860.0159469,1840202,159.45497131347656
1711498866.6563694,1843691,161.2363739013672
1711498873.994349,1847335,159.03729248046875
1711498878.8351698,1850004,157.10357666015625
1711498883.7239704,1852752,155.24160766601562
1711498893.6245875,1858026,153.84774780273438
1711498898.6910117,1861076,151.1185760498047
1711498904.645322,1864159,150.84854125976562
1711498912.8071268,1868952,154.33999633789062
1711498915.7023716,1870928,153.92323303222656
1711498923.3787255,1875730,154.32247924804688
1711498936.740675,1883804,147.1453094482422
1711498944.83773,1888630,144.56729125976562
1711498950.694112,1891850,142.40977478027344
1711498957.0148516,1895167,139.9402618408203
1711498969.6651404,1902249,145.38052368164062
1711498974.9248521,1905117,145.63475036621094
1711498981.1224098,1909320,156.128173828125
1711498984.561125,1911495,163.49835205078125
