#{"t_start": 1711495472.588361, "env_id": "LunarLander-v2"}
r,l,t
-432.688818,112,16.444253
-329.4114,108,16.525317
-406.025761,81,16.585357
-191.360446,96,16.656209
-403.803926,97,16.729517
-399.054487,84,16.793297
-440.963851,126,16.890491
-216.980776,101,16.966175
-317.459562,79,17.036584
-254.455395,118,17.13152
-253.077058,202,17.302873
-112.837589,87,17.372056
-66.434236,102,17.457743
-67.352258,77,17.521757
-388.014555,87,17.591053
-59.59162,153,17.721689
-120.50071,100,17.799344
-96.215498,87,17.872874
-90.12997,118,17.97379
-362.118083,110,18.06241
-138.998579,120,18.168253
-264.914265,136,18.27804
-215.131025,162,18.41814
-209.482975,127,18.519198
-185.223739,117,18.608677
-198.084913,77,18.67079
-319.081698,88,18.745712
-168.605799,122,18.847799
-261.128148,123,18.947647
-384.182027,100,19.030891
-194.29834,109,19.117461
-305.77492,135,19.224199
-14.935853,94,19.301278
-94.521998,142,19.417333
-70.213514,81,19.480368
-170.150251,94,19.574237
-72.108915,127,19.67881
-315.100907,101,19.76049
-181.397669,82,19.824041
-75.836322,102,19.907169
-160.655724,130,20.012623
-197.638145,113,20.109068
-80.997313,77,20.166886
-194.178802,83,20.233614
-91.738189,85,20.300203
-108.312118,106,20.388995
-105.381664,111,20.476812
-189.545845,113,20.564165
-228.350371,93,20.638112
-112.201131,126,20.740276
-78.231365,89,20.808496
-124.656126,84,20.871318
-193.778401,82,20.935248
-35.600889,81,20.999331
-99.653361,90,21.064969
-71.532065,78,21.124331
-151.49408,131,21.224931
-112.093867,101,21.306253
-139.142074,116,21.39884
-131.981801,122,21.499504
-92.48123,158,21.627956
-88.677195,151,21.75691
-111.569238,135,21.870121
-197.514893,96,21.954914
-165.620061,81,22.024414
-198.243012,144,22.153888
-121.00728,112,22.243173
-97.267334,104,22.325986
-227.032516,120,22.420251
-113.454207,90,22.495049
-131.003791,101,22.578574
-28.170883,126,22.678642
-77.775469,87,22.751964
-200.924402,135,22.868898
-124.74491,93,22.943278
-208.378561,121,23.039576
-112.505167,131,23.146538
-72.79769,74,23.204258
-116.819679,91,23.275307
-57.395269,86,23.341506
-131.091941,148,23.460813
-174.059828,125,23.566117
-39.530276,123,23.667421
-104.07128,161,23.809612
-109.276941,141,23.929832
-60.511574,82,23.996428
-279.646788,114,24.08717
-130.270939,153,24.210099
-194.36313,76,24.269931
-94.276016,97,24.348529
-168.743534,86,24.418887
-283.061251,97,24.492612
-91.487829,136,24.601884
-79.083247,107,24.68734
-235.86864,98,24.771471
-118.660053,112,24.863818
-99.767456,113,24.955571
-251.002033,80,25.021023
-117.53238,103,25.111945
-126.968607,95,25.192626
-56.489737,118,25.301263
-185.731572,130,25.411551
-105.515451,75,25.471378
-113.857814,118,25.566536
-194.94288,107,25.650862
-179.71974,150,25.782095
-234.403332,100,25.859331
-260.788163,125,25.956401
-218.888788,102,26.051529
-303.215767,124,26.16075
-69.966412,106,26.247781
-39.101878,122,26.349852
-127.357194,122,26.449065
-112.437997,100,26.531519
-147.75305,76,26.59277
-213.745828,97,26.672997
-295.065169,131,26.779969
-279.087274,99,26.860486
-113.583672,107,26.949541
-21.038443,150,27.077208
-119.500822,108,27.172082
-240.325886,95,27.253079
-142.318389,91,27.32543
-210.951794,192,27.498171
-100.66009,132,27.609459
-100.167546,103,27.695715
-24.807899,145,27.82507
-108.614648,116,27.919706
-315.093529,155,28.049386
-61.193344,67,28.103702
-187.418159,118,28.206887
-63.442497,102,28.287128
-68.749106,116,28.38362
-182.526077,111,28.483994
-42.984203,119,28.593628
-89.736045,127,28.697625
-74.479993,153,28.830559
-204.089045,143,28.953458
-35.019345,107,29.044023
-59.579353,103,29.128713
-200.651185,138,29.241252
-38.985714,98,29.323361
-162.87715,147,29.458328
-58.37541,133,29.567364
-294.822495,142,29.684117
-219.81351,149,29.813559
-82.767147,120,29.914122
-110.31567,81,29.977732
-96.341141,112,30.06754
-216.027275,70,30.124602
-180.589964,94,30.196887
-59.66388,105,30.283411
-311.888017,148,30.409742
-95.163621,135,30.527116
-123.343695,95,30.604966
-23.254808,122,30.706926
-335.032884,124,30.813304
-97.036402,102,30.897857
-112.34918,82,30.965688
-111.184208,87,31.037845
-248.061713,141,31.159496
-8.592209,98,31.240789
-138.282098,116,31.341282
-182.108221,125,31.439385
-105.143452,154,31.567767
-121.384117,109,31.661759
-89.801999,110,31.751902
-273.67462,126,31.855623
-61.32808,147,31.985359
-66.4835,75,32.049789
